id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
4317,CDS,cde_fo,GBPUSD,6920,OPTCUR,CE,1.125,GBPUSD27DECEMBER231.125CE,GBPUSD23DEC1.125CE,GBPUSD 27DEC23 1.125 CE,27-12-2023,1,0.0001,1,125,1.125
4318,CDS,cde_fo,GBPUSD,6921,OPTCUR,PE,1.125,GBPUSD27DECEMBER231.125PE,GBPUSD23DEC1.125PE,GBPUSD 27DEC23 1.125 PE,27-12-2023,1,0.0001,1,125,1.125
4319,CDS,cde_fo,GBPUSD,6922,OPTCUR,CE,1.13,GBPUSD27DECEMBER231.13CE,GBPUSD23DEC1.13CE,GBPUSD 27DEC23 1.13 CE,27-12-2023,1,0.0001,1,13,1.13
4320,CDS,cde_fo,GBPUSD,6923,OPTCUR,PE,1.13,GBPUSD27DECEMBER231.13PE,GBPUSD23DEC1.13PE,GBPUSD 27DEC23 1.13 PE,27-12-2023,1,0.0001,1,13,1.13
4321,CDS,cde_fo,GBPUSD,6924,OPTCUR,CE,1.135,GBPUSD27DECEMBER231.135CE,GBPUSD23DEC1.135CE,GBPUSD 27DEC23 1.135 CE,27-12-2023,1,0.0001,1,135,1.135
4322,CDS,cde_fo,EURINR,6925,OPTCUR,PE,92.5,EURINR11AUGUST2392.5PE,EURINR2381192.5PE,EURINR 11AUG23 92.5 PE,11-08-2023,1,0.0025,92,5,92.5
4323,CDS,cde_fo,EURINR,6926,OPTCUR,CE,92.75,EURINR11AUGUST2392.75CE,EURINR2381192.75CE,EURINR 11AUG23 92.75 CE,11-08-2023,1,0.0025,92,75,92.75
4324,CDS,cde_fo,JPYINR,6927,OPTCUR,CE,54.75,JPYINR21JULY2354.75CE,JPYINR2372154.75CE,JPYINR 21JUL23 54.75 CE,21-07-2023,1,0.0025,54,75,54.75
4325,CDS,cde_fo,JPYINR,6928,OPTCUR,PE,54.75,JPYINR21JULY2354.75PE,JPYINR2372154.75PE,JPYINR 21JUL23 54.75 PE,21-07-2023,1,0.0025,54,75,54.75
4326,CDS,cde_fo,JPYINR,6929,OPTCUR,PE,61.5,JPYINR28JULY2361.5PE,JPYINR2372861.5PE,JPYINR 28JUL23 61.5 PE,28-07-2023,1,0.0025,61,5,61.5
4327,CDS,cde_fo,JPYINR,6930,OPTCUR,CE,61.75,JPYINR28JULY2361.75CE,JPYINR2372861.75CE,JPYINR 28JUL23 61.75 CE,28-07-2023,1,0.0025,61,75,61.75
